187	B Li	Professor of National Laboratory of Pattern Recognition, Institute of Automation, Chinese
188	B Li	Alibaba
189	B Li	Northeastern University（China）
190	B Liu	National University of Singapore, previously Stanford University and Baidu Research
191	B Liu	Distinguished Professor, University of Illinois at Chicago
192	B Mak	Professor of Computer Science, the Hong Kong University of Science and Technology
193	B Marie	4i
194	B Martins	Instituto Superior Técnico and INESC-ID, University of Lisbon
195	B Minhas	Student, IIT Guwahati
196	B O'Connor	University of Massachusetts Amherst
197	BR Chakravarthi	Assistant Professor / Lecturer-Above-the-Bar, School of Computer Science, University of Galway
198	B Ren	Nankai University
199	B Thompson	Amazon
200	B Twardowski	Computer Vision Center, UAB
201	B Van Durme	Johns Hopkins University; Microsoft Semantic Machines
202	B Vo	Ho Chi Minh City University of Technology (HUTECH), Ho Chi Minh, Viet Nam
203	B Webber	Professor, School of Informatics, University of Edinburgh
204	B Wu	Meta Reality Labs, UC Berkeley
205	B Yang	Alibaba DAMO Academy
206	BY Lin	University of Southern California
207	B Zhang	DiDi Labs
208	B Zhang	University of Edinburgh
209	B Zhang	Alibaba Group
210	B Zheng	Harbin Institute of Technology
211	CA Iglesias	Universidad Politécnica de Madrid
212	C Alberti	google.com
213	C Amrhein	University of Zurich
214	C Beck	Professor of Mechanical and Industrial Engineering, University of Toronto
215	C Bhagavatula	Allen Institute for Artificial Intelligence
216	C Bryant	Research Associate, University of Cambridge
217	C Buck	Google Research
218	C Callison-Burch	Associate Professor, University of Pennsylvania
219	C Canfora	University of Mainz / FTSK Germersheim
220	C Cardie	Professor of Computer Science, Cornell University
221	C Chelba	Research Scientist, Google
222	C Chen	Senior Lecturer at Faculty of Information Technology, Monash University
223	C Cherry	Google Research
224	C Chu	Kyoto University
225	CC Leung	Singapore R&D Centre, Alibaba Inc.
226	C Conforti	PhD Candidate in Natural Language Processing, University of Cambridge
227	C Davis	University of Cambridge
228	C Dhakal	University of Georgia
229	CDV Hoang	Applied Scientist at Oracle
230	CE González-Gallardo	La Rochelle Université
231	C Escolano	Polytechnic University of Catalonia. Barcelona
232	C Escolano Peinado	Polytechnic University of Catalonia. Barcelona
233	C Federmann	Principal Research Manager, Microsoft Translator
234	C Gao	Harbin Institute of Technology (Shenzhen)
235	C Gómez-Rodríguez	Universidade da Coruña, CITIC
236	C Gong	University of Texas at Austin
237	C Grozea	Researcher, Fraunhofer Institute FOKUS
238	C Hadiwinoto	Engineer, Shopee
239	CH Ao	NLP2CT
240	C Hardmeier	Associate Professor, IT University of Copenhagen/Uppsala University
241	C Hokamp	Senior Research Scientist at AYLIEN
242	C Holtz	UC San Diego
243	C Ke	Purdue University
244	C Kedzie	Senior Researcher, Microsoft Semantic Machines
